SNP	M.javanica	Rhinolophus	China-jul-dez-2020	China-jan-feb-2021	Brasil-jul-dez-2020	Brasil-ene-feb-2021	Brasil-mar-abril-2021	India-jul-dez-2020	India-jan-feb-2021	India-mar-apr-2021	Mexico-jul-dec-2020	Mexico-ene-feb-2021	Mexico-mar-abr-2021	USA.dec.2020	USA.jul.2020	UK.jul.2020	UK.dec.2020
241_bp	0	7	93	100	97	93	98	97	100	96	103	103	102	98	99	97	97
3037_bp	0	35	93	100	96	97	98	95	97	95	99	98	99	98	100	100	99
11083_bp	31	21	9	0	3	1	0	4	4	1	3	0	2	2	1	0	3
14408_bp	0	7	93	100	95	93	91	96	98	95	99	98	99	99	98	100	99
17747_bp	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17858_bp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18060_bp	57	64	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
23403_bp	0	7	93	100	96	98	99	97	98	95	99	98	99	99	100	98	99
26144_bp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27046_bp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28144_bp	57	21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
28881_bp	0	7	75	100	94	97	98	63	19	58	26	87	81	11	11	90	33
28882_bp	0	0	75	100	94	97	97	63	14	19	26	87	81	11	11	90	33
28883_bp	0	0	75	100	94	97	97	62	15	19	26	87	81	11	12	90	33
