SNP	Brasil-jul-dez-2020	Brasil-ene-feb-2021	Brasil-mar-abril-2021	India-jul-dez-2020	India-jan-feb-2020	India-mar-apr-2020
23063_bp	0	50	87	0	10	17
23064_bp	0	0	0	0	0	0
23065_bp	0	0	0	0	0	0
23603_bp	0	0	0	0	0	0
23604_bp	0	5	4	4	20	55
23605_bp	0	0	0	0	0	0
21766_bp	0	0	0	0	0	0
21767_bp	0	0	0	0	0	0
21768_bp	0	0	0	0	0	0
21769_bp	0	0	0	0	0	0
21770_bp	0	0	0	0	0	0
21771_bp	0	0	0	0	0	0
21772_bp	0	0	0	0	0	0
241_bp	97	93	98	97	100	96
3037_bp	96	97	98	95	97	95
11083_bp	3	1	0	4	4	1
14408_bp	95	93	91	96	98	95
17747_bp	0	0	0	0	0	0
17858_bp	0	0	0	0	0	0
18060_bp	0	0	0	0	0	0
23403_bp	96	98	99	97	98	95
26144_bp	0	0	0	0	0	0
27046_bp	0	0	0	0	0	0
28144_bp	0	0	0	0	1	0
28881_bp	94	97	98	63	19	58
28882_bp	94	97	97	63	14	19
28883_bp	94	97	97	62	15	19
